id_manufacturer;aircraft_model
28;210M
23;KR-2
28;182T
6;MBB-BK 117 C-2
4;KODIAK 100
39;GVI(G650ER)
27;ERJ 190-100 IGW
17;767-324
13;A350-941
17;737-800
17;737-823
17;737-71Q
17;737-7CT
28;182R
27;ERJ 170-200 LR
13;A321-271NX
14;R66
45;FISHER CLASSIC
13;A321-253NX
43;DC-9-83(MD-83)
18;CL-600-2C10
17;767-322
17;737-7BX
17;737-752
17;737-7L9
24;FALCON 900 EX
27;EMB-145XR
13;A320-212
17;737-890
13;A321-271N
13;A320-232
17;757-223
17;737-71B
17;777-223
17;767-3P6
34;RV6A
32;G-1159
31;PA-32R-301
35;A320-214
13;A330-243
17;737-73V
33;INSPIRE 2
43;MD-90-30
5;ERJ 170-200 LR
17;737-76N
15;JEB SUPER HI MAX
17;737-7H4
27;ERJ 170-100 SE
17;757-324
17;737-76Q
28;310L
21;ERJ 170-200 LR
17;767-424ER
13;A330-223
29;A320-251N
35;A319-114
17;MD-90-30
17;767-33A
17;737-8FH
41;AT-602
17;737-924ER
17;767-432ER
17;737-732
17;777-232
27;EMB-145
17;767-3CB
17;737-924
35;A319-112
17;787-10
30;ELA 07 SCORPION
17;737-700
17;757-28A
17;737-7BD
17;757-33N
17;767-332
17;717-200
13;A330-323
17;777-323ER
13;A330-941
13;A319-115
17;757-2Q8
17;737-990
17;737-824
29;A321-211
17;737-7V3
37;SR22
17;757-351
17;737-832
13;A321-231
44;PC-12
28;340A
10;TBM 700
11;DA 42
43;DC-9-82(MD-82)
41;AT-502B
35;A320-212
17;757-222
20;"H101 ""SALTO"""
17;757-232
13;A320-251N
17;737-7AD
26;TIERRA II
17;737-7K5
17;757-23N
27;EMB-145LR
13;A320-271N
17;777-224
27;EMB-135KL
28;T182T
37;SR22T
17;757-26D
17;767-323
2;MARQUART M 5 CHARGER
17;787-9
27;ERJ 170-100 LR
2;MONTANA COYOTE
13;A319-132
3;ERJ 170-200 LR
17;737-7K9
17;737-79P
18;CL-600-2B19
17;737-79L
17;737-8
35;A320-211
17;737-990ER
19;CL-600-2B19
35;A330-223
17;737-8H4
13;A321-211
13;A319-131
13;A330-302
27;ERJ 170-100SU
17;757-231
17;737-900ER
35;A330-323
17;757-224
13;A320-214
17;777-222
13;A321-253N
7;101C
12;HAWKER 800XP
17;757-2B7
41;AT-802A
17;737-724
17;757-251
36;DOMINATOR
17;767-323ER
17;737-932ER
17;737-7BK
17;737-9
13;A319-111
8;EVANS VP II
21;ERJ 170-200 LL
40;BD-500-1A10
17;737-7Q8
17;777-232LR
38;MD-88
13;A319-114
38;MD 83
17;737-790
17;737-705
13;A320-211
16;RV-7A
17;777-300ER
17;787-8
9;VANS RV-8A
42;BD-500-1A10
35;A321-211
35;A319-131
18;CL-600-2D24
1;M20J
46;DA 40
28;510
35;A321-231
13;A319-112
22;M20S
35;A319-132
35;A320-232
18;BD-100-1A10
29;A320-271N
17;737-8EH
25;MD-88
